strike,bid,ask,price,bs_price,binomial_price,s,q,r,t
5.0,320.75,324.4,322.575,271.62935235677935,334.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
30.0,238.0,243.0,240.5,247.32423700142408,309.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
45.0,292.8,296.55,294.675,232.7411677882109,294.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
50.0,287.95,291.6,289.775,227.88014471713984,289.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
60.0,266.65,270.15,268.4,218.15809857499772,279.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
70.0,0.0,0.0,0.0,208.43605243285862,269.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
80.0,258.85,262.55,260.70000000000005,198.71400629106682,259.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
85.0,254.05,257.7,255.875,193.85298322232845,254.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
90.0,209.1,212.85,210.975,188.99196016532716,249.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
95.0,244.3,248.05,246.175,184.13093716552967,244.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
100.0,228.15,232.0,230.075,179.26991440439565,239.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
105.0,198.0,201.75,199.875,174.40889251168417,234.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
110.0,229.75,233.45,231.6,169.5478734186143,229.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
115.0,188.35,192.25,190.3,164.6868624301052,224.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
120.0,220.05,223.9,221.97500000000002,159.82587275295217,219.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
125.0,215.25,219.05,217.15,154.96493448717698,214.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
130.0,210.45,213.75,212.1,150.10411098756413,209.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
135.0,205.55,208.9,207.22500000000002,145.24352634336677,204.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
140.0,200.8,204.1,202.45,140.3834082277909,199.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
145.0,179.05,182.4,180.72500000000002,135.52415022472323,194.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
150.0,191.45,194.5,192.975,130.6663966956031,189.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
155.0,186.75,189.7,188.225,125.81115120268456,184.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
160.0,181.9,184.9,183.4,120.9599065695966,179.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
165.0,177.2,180.1,178.64999999999998,116.11479117476443,174.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
170.0,172.3,175.3,173.8,111.27872255119038,169.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
175.0,167.65,170.55,169.10000000000002,106.45555639612607,164.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
180.0,162.6,165.75,164.175,101.65021722010732,159.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
185.0,158.0,161.0,159.5,96.86879647481692,154.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
190.0,153.55,156.25,154.9,92.11860525128216,149.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
195.0,148.45,151.55,150.0,87.40817143755825,144.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
200.0,144.25,146.8,145.525,82.74717524392517,139.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
210.0,134.6,137.45,136.02499999999998,73.6171541131468,129.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
220.0,125.4,128.15,126.775,64.82277135312788,119.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
230.0,116.2,119.0,117.6,56.46321877231594,109.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
