strike,bid,ask,price,bs_price,binomial_price,s,q,r,t,intrinsic_value,model_valid
5.0,320.75,324.4,322.575,333.963152336887,334.5199890136719,339.5199890136719,0.0032,0.043970003,0.6410958904109589,333.963152336887,True
30.0,238.0,243.0,240.5,309.65803698153167,309.66292876127596,339.5199890136719,0.0032,0.043970003,0.6410958904109589,309.65803698153167,True
45.0,293.25,297.0,295.125,295.07496776831846,295.0749772616258,339.5199890136719,0.0032,0.043970003,0.6410958904109589,295.07496776831846,True
50.0,288.4,291.8,290.1,290.2139446972474,290.2139457307372,339.5199890136719,0.0032,0.043970003,0.6410958904109589,290.2139446972474,True
60.0,266.65,270.15,268.4,280.4918985551053,280.4918985663775,339.5199890136719,0.0032,0.043970003,0.6410958904109589,280.4918985551053,True
70.0,0.0,0.0,0.0,270.76985241296313,270.76985241307875,339.5199890136719,0.0032,0.043970003,0.6410958904109589,270.7698524129632,True
80.0,259.3,262.85,261.07500000000005,261.0478062708213,261.0478062708219,339.5199890136719,0.0032,0.043970003,0.6410958904109589,261.04780627082107,True
85.0,254.45,258.2,256.325,256.1867831997526,256.1867831997501,339.5199890136719,0.0032,0.043970003,0.6410958904109589,256.18678319975,True
90.0,209.1,212.85,210.975,251.3257601287002,251.32576012868142,339.5199890136719,0.0032,0.043970003,0.6410958904109589,251.32576012867895,True
95.0,244.7,248.55,246.625,246.46473705775395,246.46473705762907,339.5199890136719,0.0032,0.043970003,0.6410958904109589,246.46473705760786,True
100.0,228.15,232.0,230.075,241.6037139873869,241.60371398673666,339.5199890136719,0.0032,0.043970003,0.6410958904109589,241.60371398653683,True
105.0,198.0,201.75,199.875,236.74269091974372,236.7426909167961,339.5199890136719,0.0032,0.043970003,0.6410958904109589,236.74269091546574,True
110.0,230.1,233.9,232.0,231.88166786331675,231.88166785129636,339.5199890136719,0.0032,0.043970003,0.6410958904109589,231.8816678443947,True
115.0,188.35,192.25,190.3,227.0206448479243,227.02064480407498,339.5199890136719,0.0032,0.043970003,0.6410958904109589,227.02064477332362,True
120.0,220.4,224.1,222.25,222.15962196756755,222.15962182442834,339.5199890136719,0.0032,0.043970003,0.6410958904109589,222.1596217022526,True
125.0,215.6,219.35,217.475,217.29859949121783,217.29859907201916,339.5199890136719,0.0032,0.043970003,0.6410958904109589,217.2985986311815,True
130.0,210.8,214.5,212.65,212.43757812405713,212.43757701941723,339.5199890136719,0.0032,0.043970003,0.6410958904109589,212.43757556011047,True
135.0,205.9,209.7,207.8,207.5765595741233,207.5765569464225,339.5199890136719,0.0032,0.043970003,0.6410958904109589,207.57655248903941,True
140.0,201.2,204.85,203.02499999999998,202.71554769117714,202.71554201614248,339.5199890136719,0.0032,0.043970003,0.6410958904109589,202.71552941796836,True
145.0,179.05,182.4,180.72500000000002,197.85455060114612,197.85453930755577,339.5199890136719,0.0032,0.043970003,0.6410958904109589,197.8545063468973,True
150.0,191.7,195.35,193.52499999999998,192.9935844571695,192.9935629174171,339.5199890136719,0.0032,0.043970003,0.6410958904109589,192.99348327582624,True
155.0,187.1,190.25,188.675,188.13267965066586,188.13263683581576,339.5199890136719,0.0032,0.043970003,0.6410958904109589,188.13246020475518,True
160.0,182.3,185.35,183.825,183.27189054188014,183.27179206683113,339.5199890136719,0.0032,0.043970003,0.6410958904109589,183.27143713368412,True
165.0,177.3,180.8,179.05,178.4113099348689,178.41116034063796,339.5199890136719,0.0032,0.043970003,0.6410958904109589,178.41041406261303,True
170.0,172.55,176.2,174.375,173.55108958544133,173.55089831391203,339.5199890136719,0.0032,0.043970003,0.6410958904109589,173.54939099154197,True
175.0,167.95,171.1,169.52499999999998,168.69146794261383,168.69117139120988,339.5199890136719,0.0032,0.043970003,0.6410958904109589,168.6883679204709,True
180.0,163.0,166.45,164.725,163.83280604779912,163.8320635256854,339.5199890136719,0.0032,0.043970003,0.6410958904109589,163.82734484939985,True
185.0,158.65,161.9,160.275,158.97563203705883,158.9749360999308,339.5199890136719,0.0032,0.043970003,0.6410958904109589,158.9663217783288,True
190.0,153.65,156.3,154.97500000000002,154.12069402552876,154.11992424080037,339.5199890136719,0.0032,0.043970003,0.6410958904109589,154.10529870725773,True
195.0,148.95,151.5,150.225,149.26902034595776,149.26688009949254,339.5199890136719,0.0032,0.043970003,0.6410958904109589,149.24427563618667,True
200.0,144.25,147.2,145.725,144.42198523871247,144.4204774130389,339.5199890136719,0.0032,0.043970003,0.6410958904109589,144.3832525651156,True
210.0,134.85,137.45,136.14999999999998,134.74946678864387,134.74529137722183,339.5199890136719,0.0032,0.043970003,0.6410958904109589,134.6612064229735,True
220.0,125.8,128.05,126.92500000000001,125.12359770844364,125.11687472128291,339.5199890136719,0.0032,0.043970003,0.6410958904109589,124.93916028083137,True
230.0,116.4,118.95,117.67500000000001,115.57430860144856,115.56936132828054,339.5199890136719,0.0032,0.043970003,0.6410958904109589,115.21711413868925,True
240.0,107.4,109.9,108.65,106.1419780647532,106.13949050198606,339.5199890136719,0.0032,0.043970003,0.6410958904109589,105.49506799654714,True
250.0,98.95,101.1,100.025,96.87717878360286,96.87767113646433,339.5199890136719,0.0032,0.043970003,0.6410958904109589,95.77302185440502,True
260.0,90.35,92.45,91.4,87.83901236955163,87.84214286725738,339.5199890136719,0.0032,0.043970003,0.6410958904109589,86.0509757122629,True
270.0,82.3,83.8,83.05,79.09213649737512,79.09480801720031,339.5199890136719,0.0032,0.043970003,0.6410958904109589,76.3289295701208,True
280.0,73.8,76.0,74.9,70.70284711839687,70.69574874530566,339.5199890136719,0.0032,0.043970003,0.6410958904109589,66.60688342797869,True
290.0,66.2,68.25,67.225,62.73474588542874,62.697605253998184,339.5199890136719,0.0032,0.043970003,0.6410958904109589,56.88483728583657,True
300.0,59.05,60.9,59.974999999999994,55.24456773717213,55.23100361479908,339.5199890136719,0.0032,0.043970003,0.6410958904109589,47.16279114369445,True
310.0,51.9,53.8,52.849999999999994,48.27867317850604,48.30922640470148,339.5199890136719,0.0032,0.043970003,0.6410958904109589,37.44074500155233,True
320.0,45.5,47.1,46.3,41.870558697863515,41.92742422611947,339.5199890136719,0.0032,0.043970003,0.6410958904109589,27.71869885941021,True
330.0,39.35,40.9,40.125,36.03955269478698,36.07848903792333,339.5199890136719,0.0032,0.043970003,0.6410958904109589,17.996652717268034,True
340.0,34.2,34.95,34.575,30.790685641498925,30.742048845703053,339.5199890136719,0.0032,0.043970003,0.6410958904109589,8.274606575125915,True
350.0,29.3,30.0,29.65,26.11558194822689,26.141847254076623,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
360.0,24.75,25.35,25.05,21.994131698522892,22.05570259323434,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
370.0,20.7,21.4,21.049999999999997,18.396663899467697,18.39494395670516,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
380.0,17.3,18.05,17.675,15.286350488460968,15.281703171199078,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
390.0,14.45,14.95,14.7,12.621608674508053,12.667041144655784,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
400.0,11.85,12.3,12.075,10.358324195095406,10.333540967280081,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
410.0,9.75,10.25,10.0,8.451777650948799,8.458137315149745,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
420.0,8.0,8.55,8.275,6.858211440328745,6.873065064098986,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
430.0,6.65,7.0,6.825,5.5360206641361955,5.484259034077882,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
440.0,5.35,5.75,5.55,4.446585472700569,4.457780710541243,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
450.0,4.3,4.75,4.525,3.554784696500434,3.5165886798916723,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
460.0,3.55,3.9,3.7249999999999996,2.829242693831972,2.827142297944094,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
470.0,2.87,3.2,3.035,2.2423653078740386,2.220359867039505,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
480.0,2.3,2.5,2.4,1.7702189641226163,1.7591006202208428,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
490.0,1.93,2.09,2.01,1.3923013798083623,1.3753949518008837,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
500.0,1.56,1.66,1.6099999999999999,1.0912448511288577,1.077634504893075,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
510.0,1.26,1.41,1.335,0.8524849499976614,0.8372238365699681,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
520.0,1.02,1.15,1.085,0.6639196020202611,0.6519169759649261,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
530.0,0.82,0.95,0.885,0.5155764798516973,0.5012060003398652,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
540.0,0.66,0.79,0.7250000000000001,0.3993007036676728,0.39012061822281185,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
550.0,0.0,0.0,0.0,0.3084700686741346,0.29498968169439227,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
560.0,0.43,0.53,0.48,0.23774136529755818,0.23089681075567872,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
580.0,0.13,0.51,0.32,0.14031284273721,0.13485887884339381,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
590.0,0.08,0.44,0.26,0.10747962551958024,0.0992957493103089,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
600.0,0.14,0.39,0.265,0.08218441603469495,0.07742138895760645,339.5199890136719,0.0032,0.043970003,0.6410958904109589,0.0,True
