strike,bid,ask,price,bs_price,binomial_price,s,q,r,t,intrinsic_value,model_valid,stale,break
5.0,320.75,324.4,322.575,334.5220022342736,335.0799865722656,340.0799865722656,0.0032,0.043970003,0.6410958904109589,334.5220022342736,True,False,Within Tolerance
30.0,238.0,243.0,240.5,310.2168868789183,310.2218853554456,340.0799865722656,0.0032,0.043970003,0.6410958904109589,310.2168868789183,True,False,Large BS Break
45.0,294.2,297.55,295.875,295.63381766570507,295.6338275256133,340.0799865722656,0.0032,0.043970003,0.6410958904109589,295.63381766570507,True,False,Within Tolerance
50.0,288.85,292.65,290.75,290.77279459463404,290.7727956743233,340.0799865722656,0.0032,0.043970003,0.6410958904109589,290.77279459463404,True,False,Within Tolerance
60.0,266.65,270.15,268.4,281.0507484524919,281.0507484644151,340.0799865722656,0.0032,0.043970003,0.6410958904109589,281.0507484524919,True,False,Within Tolerance
70.0,0.0,0.0,0.0,271.32870231034974,271.3287023104734,340.0799865722656,0.0032,0.043970003,0.6410958904109589,271.3287023103498,True,True,No Price
80.0,259.8,263.55,261.675,261.6066561682079,261.6066561682087,340.0799865722656,0.0032,0.043970003,0.6410958904109589,261.6066561682077,True,False,Within Tolerance
85.0,255.0,258.75,256.875,256.7456330971391,256.7456330971365,340.0799865722656,0.0032,0.043970003,0.6410958904109589,256.7456330971366,True,False,Within Tolerance
90.0,209.1,212.85,210.975,251.88461002608597,251.88461002606786,340.0799865722656,0.0032,0.043970003,0.6410958904109589,251.88461002606556,True,False,Small BS Break
95.0,245.25,249.05,247.15,247.02358695513476,247.0235869550152,340.0799865722656,0.0032,0.043970003,0.6410958904109589,247.02358695499447,True,False,Within Tolerance
100.0,228.15,232.0,230.075,242.16256388474062,242.16256388411037,340.0799865722656,0.0032,0.043970003,0.6410958904109589,242.16256388392344,True,False,Within Tolerance
105.0,198.0,201.75,199.875,237.30154081696838,237.30154081412715,340.0799865722656,0.0032,0.043970003,0.6410958904109589,237.30154081285235,True,False,Small BS Break
110.0,230.8,234.5,232.65,232.44051776000367,232.44051774845448,340.0799865722656,0.0032,0.043970003,0.6410958904109589,232.44051774178132,True,False,Within Tolerance
115.0,188.35,192.25,190.3,227.579494742617,227.5794947005777,340.0799865722656,0.0032,0.043970003,0.6410958904109589,227.57949467071023,True,False,Small BS Break
120.0,221.1,224.85,222.975,222.71847185560026,222.7184717185797,340.0799865722656,0.0032,0.043970003,0.6410958904109589,222.7184715996392,True,False,Within Tolerance
125.0,216.25,219.9,218.075,217.8574493590087,217.85744895818593,340.0799865722656,0.0032,0.043970003,0.6410958904109589,217.8574485285681,True,False,Within Tolerance
130.0,211.55,215.2,213.375,212.9964279353445,212.99642687988145,340.0799865722656,0.0032,0.043970003,0.6410958904109589,212.99642545749708,True,False,Within Tolerance
135.0,206.75,210.25,208.5,208.13540923939152,208.13540672835455,340.0799865722656,0.0032,0.043970003,0.6410958904109589,208.13540238642602,True,False,Within Tolerance
140.0,201.75,205.6,203.675,203.27439700464404,203.27439157004153,340.0799865722656,0.0032,0.043970003,0.6410958904109589,203.27437931535496,True,False,Within Tolerance
145.0,179.05,182.4,180.72500000000002,198.4133991195231,198.41338823151344,340.0799865722656,0.0032,0.043970003,0.6410958904109589,198.4133562442839,True,False,Within Tolerance
150.0,192.0,195.8,193.9,193.5524312806693,193.55241018409248,340.0799865722656,0.0032,0.043970003,0.6410958904109589,193.55233317321284,True,False,Within Tolerance
155.0,187.5,191.0,189.25,188.6915230498801,188.6914799463595,340.0799865722656,0.0032,0.043970003,0.6410958904109589,188.69131010214178,True,False,Within Tolerance
160.0,182.7,186.2,184.45,183.83072735556587,183.8306252336329,340.0799865722656,0.0032,0.043970003,0.6410958904109589,183.83028703107072,True,False,Within Tolerance
165.0,178.2,181.4,179.8,178.9701346458773,178.96999362927576,340.0799865722656,0.0032,0.043970003,0.6410958904109589,178.96926395999964,True,False,Within Tolerance
170.0,173.1,176.65,174.875,174.10989296836564,174.10970902594713,340.0799865722656,0.0032,0.043970003,0.6410958904109589,174.10824088892858,True,False,Within Tolerance
175.0,168.3,172.0,170.15,169.25023517115497,169.2499327944857,340.0799865722656,0.0032,0.043970003,0.6410958904109589,169.24721781785752,True,False,Within Tolerance
180.0,163.55,167.25,165.4,164.39151415610183,164.39080029841023,340.0799865722656,0.0032,0.043970003,0.6410958904109589,164.38619474678646,True,False,Within Tolerance
185.0,158.7,162.5,160.6,159.53424665024744,159.53359558077398,340.0799865722656,0.0032,0.043970003,0.6410958904109589,159.5251716757154,True,False,Within Tolerance
190.0,154.45,157.4,155.925,154.67916531167282,154.6783789443475,340.0799865722656,0.0032,0.043970003,0.6410958904109589,154.66414860464434,True,False,Within Tolerance
195.0,149.75,152.65,151.2,149.82727819394322,149.8250601486931,340.0799865722656,0.0032,0.043970003,0.6410958904109589,149.80312553357328,True,False,Within Tolerance
200.0,145.05,147.95,146.5,144.97993373094215,144.9785438410488,340.0799865722656,0.0032,0.043970003,0.6410958904109589,144.94210246250222,True,False,Within Tolerance
210.0,135.65,138.6,137.125,135.30637477855663,135.30264852661895,340.0799865722656,0.0032,0.043970003,0.6410958904109589,135.2200563203601,True,False,Within Tolerance
